Customer_Code,Customer_Name,Customer_City,Customer_Longitude,Customer_Latitude,CustomerType_Name_Fa,Customer_Classification
1021586,??????? ???????,????,50.32827321,35.0289583,??????,C
1024606,??? ?????,????,49.6755267,34.0661353,??????,B
1156000,????? ????,????,50.35973308,35.01887947,??????,B
1154654,????? ??????,????,50.3711854,35.00992329,??????,B
1021943,???? ? ????,??????,50.50821435,35.30192591,??????,A+
1025303,???? ????,??,50.91026705,34.66073344,??????,A
1021310,???????? ?????,??,50.81515359,34.56167289,??????,A
1024962,?????-?????? ?????-???? ?????,?????,49.4128022,33.92453535,??????,C
1019745,???????? ? ????? ????????,??,50.87103291,34.65352306,??????,A+
1172701,???? ???? ?????????,????,50.35036483,35.03135553,??????,C
1023315,???? ? ??? ???? ????,?????,49.40916136,33.94082168,??????,B
1025163,???????? ??? ?????-???? ?????,??,50.838937,34.6141234,??????,A
1022663,??? ?????,?????,49.3989456,33.9332079,??????,B
1022666,???? ??????,?????,49.43884451,33.94987755,??????,B
1178055,???? ?????,?????,49.405724,33.92884831,??????,C
1132397,??????? ?????,??,50.89248966,34.65065548,??????,B
1021983,???? ?????,????,50.02162514,34.69384253,??????,B
1160227,???? ????,?????,49.4060407,33.92858262,??????,C
1021455,??? ?????,????,50.36394796,35.0279762,??????,A+
1155664,???? ????,????,50.34952943,35.03638852,??????,A+
1067772,???? ????,????,50.34023921,35.03201128,??????,C
1133952,???? ? ??? ???? ?????,????,50.34718033,35.04875405,??????,A+
1163786,???? ????,????,50.34714741,35.03630711,??????,A+
1135479,???? ?????,??,50.86179559,34.66743873,??????,B
1149970,??????? ?????,????,49.67236058,34.08753948,??????,B
1022159,????? ????? ??,????,49.69287549,34.11642205,??????,C
1143654,???? ??????????,????,49.68316763,34.2619982,??????,A
1149387,???? ????? ???,????,49.68835554,34.11163807,??????,B
1020543,???? ???? ????? ????? ???? ???? ???,??,50.83811643,34.63159888,??????,B
1141925,???? ?????,????,50.3594077,35.04121012,??????,B
1154489,?????? ?????,??,50.87201685,34.6298432,??????,B
1136409,???? ?????,????,50.34939657,35.04784705,??????,B
1021832,???? ????,????,50.34924922,35.048127,??????,A+
1136203,????? ???????,????,50.34010703,35.00497236,??????,C
1129124,???? ????? ????,??,50.87101284,34.62369222,??????,B
1025451,??? ????? ????,??,50.8841202,34.6319284,??????,C
1020761,??? ??? ????-???? ?????,??,50.8728619,34.66376484,??????,A
1021625,???????? ??????,????,50.43276387,34.99917311,??????,B
1021689,???? ? ???? ?????,????,50.34300451,35.00734911,??????,C
1162412,???? ???????,????,50.33663927,35.02487095,??????,B
1021431,???? ?????,????,50.35260595,35.02152287,??????,B
1025401,??? ???? ?????,??,50.8804718,34.6239961,??????,C
1021674,????? ? ????? ???????,????,50.34561779,35.00295782,??????,A+
1157092,??? ?????? ???,??,50.88652628,34.61913945,??????,B
1171367,???? ??????,??,50.85969541,34.66327331,??????,C
1020239,???? ?? ????,??,50.8630209,34.61921294,??????,B
1025365,??? ??????,??,50.8830446,34.6550572,??????,B
1020869,??? ????????? ??????,??,50.8818492,34.6498817,??????,A+
1178020,????? ??????,??,50.86900635,34.660242,??????,C
1144939,???? ??????,??,50.90994651,34.63953501,??????,C
1023078,???? ?? ???? ? ????? ????,????,49.67732643,34.07593106,??????,B
1164095,????  ?????,??,50.88292032,34.6637386,??????,C
1180526,????? ????,??,50.86734138,34.70409164,????,C
1025427,????? ???????,??????,50.48795604,35.30855064,??????,B
1162343,??? ???? ?????,??,50.87776863,34.66284463,??????,C
1022051,???? ??? ? ????? ????? ? ???????,????,49.71451869,34.08773216,??????,C
1021960,???? ???????,??????,50.51995963,35.29676218,??????,A
1021728,??????? ????,??????,50.67955055,35.36388407,??????,A
1153139,???? ??????,??????,50.67795505,35.36103582,??????,B
1021731,???? ?????,??????,50.68520041,35.36258192,??????,A
1021251,???? ??????,??,50.90540973,34.64586448,??????,B
1021617,???? ??????,????,50.43550478,34.99717385,??????,B
1171052,????  ????? ?????,????,50.51136216,35.29938947,??????,C
1021947,???? ??? ???? ? ???? ????,??????,50.51111378,35.29901688,??????,A
1159355,????? ?????,??????,50.51857498,35.29723075,??????,B
1137193,?????? ????????,??????,50.50402465,35.36739559,??????,B
1025858,???? ????_??? ???? ??????,??????,50.49360141,35.3051886,??????,A
1020027,??????? ??? ???,??,50.4639873,34.47675356,??????,A+
